Timestamp;Goal x;Goal y;Goal z;Goal roll;Goal pitch;Goal yaw;shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint;measurement_temperature;measurement_x;measurement_y;measurement_z;measurement_rx;measurement_ry;measurement_rz
20200714164233;0,8;0,6;0,8;1,5708;1,5708;1,50098;-2,15173;-2,02783;-1,10024;-0,0136207;0,510608;-0,00181896;23,6800003051758;1687,0185;-1663,1018;-516,05396;-90,509438;-55,772851;-91,182497
20200714164237;0,8;0,6;0,8;1,5708;1,5708;1,53589;-2,15573;-2,0186900000000003;-1,11398;-0,00728685;0,548469;-0,00318271;23,6800003051758;1687,3570000000002;-1662,6963;-515,9194;-90,475898;-57,734504;-91,140077
20200714164246;0,8;0,6;0,8;1,5708;1,5708;1,6057;-2,16515;-2,00051;-1,14036;0,000722408;0,6273380000000001;-0,00260812;23,6800003051758;1687,9223;-1661,6422;-515,6134900000002;-90,610432;-61,701417000000006;-91,222326
20200714164251;0,8;0,6;0,8;1,5708;1,5708;1,64061;-2,17016;-1,99147;-1,15312;0,00300956;0,667147;-0,000932995;23,6800003051758;1688,3988;-1661,1302;-515,5289799999998;-90,799927;-63,66533;-91,355344
20200714164255;0,8;0,6;0,8;1,5708;1,5708;1,67552;-2,17587;-1,98277;-1,16522;0,00523639;0,709329;-0,000406567;23,6800003051758;1688,7007;-1660,4391;-515,40287;-91,020343;-65,715579;-91,579312
20200714164259;0,8;0,6;0,8;1,5708;1,5708;1,71042;-2,18132;-1,97562;-1,17542;0,00842118;0,748161;-0,000717942;23,6800003051758;1688,8524;-1659,9706;-515,40799;-91,156402;-67,63568199999999;-91,725799
20200714164322;0,8;0,6;0,7;1,0472;1,5708;1,5708;-2,26169;-1,943;-1,3974;0,198122;1,21429;0,000191748;23,6800003051758;1690,7959;-1652,6677;-615,40567;-154,47869;-89,293115;-154,89321
20200714164332;0,8;0,6;0,7;1,22173;1,5708;1,5708;-2,22172;-1,95796;-1,37627;0,191706;0,998698;-0,00065786;23,6800003051758;1690,5421;-1655,6879;-615,50734;-93,134237;-79,659727;-93,651542
20200714164341;0,8;0,6;0,7;1,39626;1,5708;1,5708;-2,18773;-1,98477;-1,33811;0,180429;0,7904800000000001;0,000407089;23,6800003051758;1689,8415;-1658,3664;-615,41565;-91,271586;-69,64230400000001;-91,750683
20200714164350;0,8;0,6;0,7;1,5708;1,5708;1,5708;-2,16049;-2,02266;-1,28291;0,163934;0,588594;-0,000262562;23,6800003051758;1688,4422;-1661,1554;-615,29043;-90,580023;-59,70758000000001;-91,099201
20200714164359;0,8;0,6;0,7;1,7453299999999998;1,5708;1,5708;-2,14096;-2,06968;-1,21278;0,141009;0,39543;-0,00173504;23,6800003051758;1686,8889;-1663,3329;-615,45557;-90,27789;-49,716856;-90,906229
20200714164415;0,8;0,6;0,7;1,5708;0,8726649999999999;1,5708;-2,16049;-2,02213;-1,28351;0,162138;0,589158;0,697965;23,6800003051758;1688,3756;-1661,3438;-615,2503;-90,607935;-59,821964;-51,249142
20200714164421;0,8;0,6;0,7;1,5708;1,0472;1,5708;-2,16049;-2,02271;-1,28296;0,16406500000000002;0,5888220000000001;0,522185;23,6800003051758;1688,3224;-1661,2828;-615,2583;-90,517867;-59,77934499999999;-61,124301
20200714164428;0,8;0,6;0,7;1,5708;1,22173;1,5708;-2,16054;-2,02209;-1,28378;0,163419;0,589746;0,349094;23,6800003051758;1688,4764;-1661,2632;-615,37018;-90,605408;-59,82338100000001;-71,225239
20200714164435;0,8;0,6;0,7;1,5708;1,39626;1,5708;-2,16057;-2,0220700000000003;-1,28383;0,16259300000000002;0,589206;0,17541700000000002;23,6800003051758;1688,4908;-1661,1821;-615,40664;-90,670029;-59,786331;-81,27861999999998
20200714164448;0,8;0,6;0,7;1,5708;1,7453299999999998;1,5708;-2,16053;-2,0221;-1,28374;0,16312;0,589554;-0,174496;23,6800003051758;1688,5726;-1661,1244;-615,3586700000002;-90,665113;-59,763937;-101,25018
20200714164455;0,8;0,6;0,7;1,5708;1,91986;1,5708;-2,16052;-2,0230900000000003;-1,28304;0,166771;0,58923;-0,351815;23,6800003051758;1688,4627;-1661,1078;-615,55477;-90,459659;-59,731848;-111,14354
20200714164502;0,8;0,6;0,7;1,5708;2,0944;1,5708;-2,16037;-2,02299;-1,28282;0,164364;0,587743;-0,5250560000000001;23,6800003051758;1688,5033;-1661,0482;-615,46673;-90,583805;-59,631362;-121,21776
20200714164509;0,8;0,6;0,7;1,5708;2,26893;1,5708;-2,16034;-2,02278;-1,283;0,16431600000000002;0,588546;-0,697864;23,6800003051758;1688,5629;-1661,0861;-615,3709;-90,578483;-59,66167;-131,13343
20200714164524;0,8;0,6;0,7;1,5708;1,5708;1,39626;-2,14098;-2,0701400000000003;-1,2125;0,142649;0,395082;-0,00206978;23,6800003051758;1686,8517;-1663,3108;-615,62581;-90,228667;-49,706354;-90,788828
20200714164528;0,8;0,6;0,7;1,5708;1,5708;1,43117;-2,14406;-2,05932;-1,22844;0,144242;0,432961;0,000981583;23,6800003051758;1687,2942;-1662,9788;-615,52938;-90,402028;-51,73011;-90,951957
20200714164533;0,8;0,6;0,7;1,5708;1,5708;1,4660799999999998;-2,14772;-2,05029;-1,24236;0,15299200000000002;0,471425;-0,00281221;23,6800003051758;1687,5577;-1662,5021;-615,56198;-90,296603;-53,732184;-90,901392
