Timestamp;Goal x;Goal y;Goal z;Goal roll;Goal pitch;Goal yaw;shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint;measurement_temperature;measurement_x;measurement_std_x;measurement_y;measurement_std_y;measurement_z;measurement_std_z;measurement_rx;measurement_std_rx;measurement_ry;measurement_std_ry;measurement_rz;measurement_std_rz
2,02103E+13;0,115748;0,63364;0,762898;1,5699;-0,000777623;-3,14154;0,934319;-1,79251;1,5196;0,272862;0,934269;-1,57075;20,74250031;2336,7643;0,00095905;-905,76441;0,0022901;-454,63664;0,0019936;-88,828159;0,00094925;-78,859576;0,0014176;1,0087431;0,0011736
2,02103E+13;-0,0842524;0,83364;0,962898;1,5699;-0,000777623;-3,14154;1,44324;-1,27933;0,587473;0,691467;1,44312;-1,57083;20,74250031;2101,2842;0,0083322;-1063,1549;0,0075407;-255,8022;0,013543;-89,122719;0,0014142;-78,89186;0,0047048;0,70338482;0,0026876
2,02103E+13;-0,0842524;0,43364;0,962898;1,5699;-0,000777623;-3,14154;1,19382;-1,96771;1,22544;0,742098;1,19377;-1,57084;20,74250031;2494,3807;0,020772;-1142,2197;0,011022;-256,41182;0,0094335;-88,876136;0,0017042;-78,91624;0,0025219;0,9408939;0,0017714
2,02103E+13;0,315748;0,83364;0,562898;1,5699;-0,000777623;-3,14154;0,873712;-1,37779;1,46421;-0,0862282;0,873695;-1,57077;20,74250031;2179,0422;0,017156;-669,03803;0,0070712;-653,69754;0,025031;-88,929424;0,0034825;-78,836431;0,0029168;0,92411811;0,0013305
2,02103E+13;0,315748;0,43364;0,562898;1,5699;-0,000777623;-3,14154;0,203178;-1,93105;1,96848;-0,0380338;0,203179;-1,57037;20,74250031;2571,1121;0,0070449;-748,41202;0,015112;-653,91674;0,0077679;-88,58942;0,0024043;-78,902678;0,0011706;1,1881816;0,0013221
2,02103E+13;0,315748;0,83364;0,962898;1,5699;-0,000777623;-3,14154;0,873532;-1,07385;0,266973;0,80703;0,873431;-1,57072;20,74250031;2179,1486;0,016387;-670,88439;0,019656;-254,03263;0,017135;-89,00281;0,0023252;-78,903953;0,0018547;0,81485251;0,00326
2,02103E+13;0,315748;0,43364;0,962898;1,5699;-0,000777623;-3,14154;0,203405;-1,7327;1,08066;0,651509;0,203419;-1,57038;20,74250031;2571,5232;0,0221;-750,0179;0,031647;-254,53833;0,0087971;-88,767187;0,0014915;-78,964422;0,0011862;1,0290876;0,0044642
2,02103E+13;-0,0842524;0,83364;0,562898;1,5699;-0,000777623;-3,14154;1,44319;-1,49352;1,59652;-0,102968;1,44307;-1,57077;20,74250031;2101,0701;0,010711;-1061,0049;0,015269;-655,47314;0,0090446;-89,101675;0,001159;-78,824464;0,0017698;0,75784101;0,0021471
2,02103E+13;-0,0842524;0,43364;0,562898;1,5699;-0,000777623;-3,14154;1,19369;-2,24593;2,11702;0,128607;1,19359;-1,5708;20,74250031;2493,8553;0,0051028;-1140,091;0,006327;-656,38267;0,010134;-89,06331;0,001208;-78,872029;0,0024903;0,81000081;0,0021103
2,02103E+13;0,115739;0,633657;0,762891;1,56993;-0,000762708;-3,14147;0,934343;-1,79242;1,51952;0,27285;0,934173;-1,57075;20,74250031;2336,7432;0,00073516;-905,75432;0,0017041;-454,61537;0,0015106;-88,826479;0,00083093;-78,865577;0,0013213;1,0089669;0,0012166
2,02103E+13;-0,0842607;0,833657;0,962891;1,56993;-0,000762708;-3,14147;1,44323;-1,27928;0,587437;0,691479;1,44306;-1,57074;20,74250031;2101,2493;0,012256;-1063,1702;0,012083;-255,82457;0,012869;-89,124746;0,0015764;-78,897373;0,0032005;0,70491163;0,0020763
2,02103E+13;-0,0842607;0,433657;0,962891;1,56993;-0,000762708;-3,14147;1,19377;-1,96771;1,22536;0,742087;1,19369;-1,57077;20,74250031;2494,3764;0,021867;-1142,2348;0,011013;-256,40518;0,0087058;-88,864322;0,00091341;-78,921561;0,0019052;0,95492024;0,0028178
2,02103E+13;0,315739;0,833657;0,562891;1,56993;-0,000762708;-3,14147;0,873712;-1,37778;1,46418;-0,0861924;0,873635;-1,57075;20,74250031;2179,0329;0,017229;-669,03016;0,0094571;-653,69168;0,022783;-88,934123;0,0039803;-78,839384;0,0030564;0,91925181;0,0017473
2,02103E+13;0,315739;0,433657;0,562891;1,56993;-0,000762708;-3,14147;0,203178;-1,93104;1,96844;-0,0379141;0,203167;-1,57054;20,74250031;2571,0999;0,0075789;-748,39224;0,01548;-653,96583;0,012796;-88,599948;0,0015651;-78,909087;0,0012997;1,1734931;0,0047112
2,02103E+13;0,315739;0,833657;0,962891;1,56993;-0,000762708;-3,14147;0,873532;-1,07373;0,266841;0,807138;0,873407;-1,57078;20,74250031;2179,1403;0,016556;-670,865;0,024136;-254,0244;0,025666;-88,996316;0,0030094;-78,90679;0,00237;0,81844265;0,003386
2,02103E+13;0,315739;0,433657;0,962891;1,56993;-0,000762708;-3,14147;0,203214;-1,73274;1,08064;0,651653;0,203191;-1,57055;20,74250031;2571,5312;0,0090757;-749,97243;0,020922;-254,54812;0,010035;-88,791717;0,0013862;-78,96062;0,0019165;1,0062355;0,0015544
