Timestamp;Goal x;Goal y;Goal z;Goal roll;Goal pitch;Goal yaw;shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint;measurement_temperature;measurement_x;measurement_std_x;measurement_y;measurement_std_y;measurement_z;measurement_std_z;measurement_rx;measurement_std_rx;measurement_ry;measurement_std_ry;measurement_rz;measurement_std_rz
2,02011E+13;0,3;-0,4;0,8;3,14159;1,5708;1,74533;-1,16492;-0,131397;-2,02537;-0,984712;-1,80286;-0,000849072;21,86750031;93,813149;0,0065509;-3308,5817;0,013839;-426,54805;0,0032994;-90,166521;0,0011452;-30,057128;0,0014142;-90,387599;0,0019969
2,02011E+13;0,3;-0,4;0,8;3,14159;1,5708;1,74533;-1,16494;-2,04963;2,0253;-3,11719;-1,80285;-0,000765626;21,86750031;96,10598;0,0078757;-3309,8005;0,0070917;-425,78618;0,012404;-90,203276;0,0020001;-29,98467;0,0016053;-90,248378;0,0032455
2,02011E+13;0,2;-0,4;0,8;2,96706;1,5708;1,5708;-1,56452;-0,23193;-2,09503;-0,814596;-1,40342;-0,000837151;21,86750031;187,92883;0,0065243;-3274,5173;0,0073374;-426,17083;0,0075154;-90,118155;0,0030522;-30,083144;0,0026964;-90,384517;0,0026908
2,02011E+13;0,2;-0,4;0,8;2,96706;1,5708;1,5708;-1,56452;-2,21096;2,09495;-3,02544;-1,40348;-0,000897233;21,86750031;189,1487;0,0035925;-3275,5529;0,0045678;-425,84787;0,016419;-90,234941;0,0022161;-30,027249;0,0026201;-90,251882;0,0035509
2,02011E+13;0,2;-0,4;0,8;3,14159;1,39626;1,5708;-1,40439;-0,270993;-2,02068;-0,672898;-1,73551;0,028291;21,86750031;185,41653;0,0023527;-3274,9309;0,0038305;-423,28279;0,0019797;-100,71576;0,0011297;-19,641837;0,0010427;-93,944328;0,0016101
2,02011E+13;0,2;-0,4;0,8;3,14159;1,39626;1,5708;-1,40437;-2,18499;2,02066;-2,80025;-1,73545;0,028303;21,86750031;186,95103;0,0064135;-3276,2267;0,0056976;-423,33427;0,0041143;-100,84699;0,0015741;-19,607372;0,0012807;-93,832913;0,00097672
2,02011E+13;0,2;-0,4;0,8;3,14159;1,74533;1,5708;-1,40439;-0,122555;-2,11692;-1,07916;-1,73548;-0,0299538;21,86750031;185,49196;0,0074379;-3275,1067;0,0026851;-429,05456;0,0091974;-79,462787;0,0035154;-19,749117;0,0030194;-86,721906;0,0060652
2,02011E+13;0,2;-0,4;0,8;3,14159;1,74533;1,5708;-1,40439;-2,12043;2,11696;-3,31495;-1,73548;-0,0299419;21,99250031;187,33453;0,0042288;-3276,5909;0,0068516;-427,97662;0,0079627;-79,476241;0,0030209;-19,653143;0,0015029;-86,569806;0,00089044
2,02011E+13;0,2;-0,4;0,8;3,14159;1,5708;1,39626;-1,26715;-0,160033;-2,04951;-0,93207;-2,04972;-0,000897233;21,99250031;182,56949;0,016168;-3276,4194;0,0099218;-426,07318;0,0060301;-90,010431;0,0015844;-10,081031;0,00091705;-90,273869;0,0056864
2,02011E+13;0,2;-0,4;0,8;3,14159;1,5708;1,39626;-1,26719;-2,09933;2,04939;-3,09145;-2,04962;-0,000693623;21,99250031;184,54259;0,01108;-3277,735;0,016715;-425,65455;0,0065234;-90,130753;0,0040347;-10,01364;0,0018033;-90,170336;0,0053047
